SensorCode,DateTimeUtc,Address,Mean,Max,Packets,Oui,Channel,Retry,PacketType
557,18-1-2020 13:18,cNB35h4jqkQ=,-81,-81,1,Xqc3,,,
557,18-1-2020 13:26,ZASsExYYwXg=,-81,-81,1,5AQ5,,,
557,18-1-2020 19:51,rwfxQgKjKpk=,-85,-85,1,/D2T,,,
557,19-1-2020 15:59,8WpVSkWvjk8=,-79,-77,2,dtzw,,,
557,20-1-2020 08:44,V2AljPuOqu4=,-81,-81,1,UIVp,,,
557,20-1-2020 13:59,RDn9iCLD3Tc=,-77,-77,1,LqJR,,,
557,20-1-2020 15:06,bR3jx5DWKfo=,-79,-79,1,JApk,,,
557,21-1-2020 13:15,tdszegRvgnM=,-65,-65,1,5iRM,,,
557,22-1-2020 02:19,2OPhgtuBFrw=,-76,-79,2,cPEc,,,
557,22-1-2020 03:34,peghDdghYvo=,-648,-63,12,hCUZ,,,
557,22-1-2020 07:23,OGcUuGxdcJQ=,-77,-77,1,ZpU1,,,
557,22-1-2020 08:54,2OPhgtuBFrw=,-89,-89,1,cPEc,,,
557,22-1-2020 11:45,ZXS4Aw9QkS0=,-81,-81,2,yK6c,,,
557,22-1-2020 20:23,i7XOoJO/e+8=,-55,-55,1,aOzF,,,
557,23-1-2020 07:57,i7XOoJO/e+8=,-59,-59,1,aOzF,,,
557,23-1-2020 10:43,OsNKEELq050=,-81,-81,1,8mzu,,,
557,23-1-2020 12:51,evxXYS/rhR4=,-71,-71,1,zkFO,,,
557,23-1-2020 13:49,UReGHsTFu8Q=,-66,-65,2,LsrY,,,
557,23-1-2020 14:09,DjqrbVIje6s=,-59,-59,2,5h0i,,,
557,23-1-2020 15:32,e5O7vJ3uLEM=,-87,-87,1,gk/3,,,
557,23-1-2020 17:16,V5VGV5/X6l8=,-71,-71,1,XF9n,,,
557,24-1-2020 00:26,48ObbNWbtvI=,-87,-87,1,HCMs,,,
557,24-1-2020 01:14,peghDdghYvo=,-633,-57,18,hCUZ,,,
557,24-1-2020 17:37,n9Dlr4RuCUE=,-69,-69,1,WMk1,,,
557,25-1-2020 09:56,bW1AKcpDPzk=,-59,-59,2,mmSs,,,
557,25-1-2020 11:40,thpW6bws+CQ=,-83,-83,1,RiNP,,,
557,25-1-2020 16:49,NFH2AYzEs5w=,-84,-83,2,vEEB,,,
557,25-1-2020 22:31,i7XOoJO/e+8=,-57,-57,1,aOzF,,,
557,26-1-2020 00:49,V5VGV5/X6l8=,-71,-71,1,XF9n,,,
557,26-1-2020 03:53,OGXsLufap+4=,-87,-87,1,1KM9,,,
557,26-1-2020 05:40,2OPhgtuBFrw=,-83,-83,1,cPEc,,,
557,26-1-2020 05:51,DOYzjPFTZTM=,-71,-71,2,GGWQ,,,
557,27-1-2020 04:40,CGomEJmri3k=,-82,-81,2,#NAME?,,,
557,27-1-2020 12:08,ct7BDi/naYE=,-80,-75,2,dNo4,,,
557,27-1-2020 13:44,dTdVuijdDk4=,-85,-85,1,YPGJ,,,
557,27-1-2020 15:25,+ggGWSBvdiQ=,-85,-85,1,sh8Y,,,
